key,value
15m,15m
1d,1D
1h,1h
1m,1m
1m_2,1M
1w,1W
1y_return,1 Jahres Rendite
1y_return_tooltip,"Die in den letzten 12 Monaten erzielte Gesamtrendite, berechnet auf der Grundlage von Änderungen des Nettoinventarwerts und ausgeschütteten Prämien."
24h_change,24h Veränderung
24h_high,24H Hoch
24h_low,24H Tief
24h_vol,24H Vol
24h_vol_quoteunitview,24H Vol( {{quoteUnitView}} )
30d,30T 
30m,30m
4h,4h
5m,5m
7d,7T
account_value_change,Änderung des Kontowertes
action,Handlung
active,Aktiv
address,Adresse
adjust_leverage,Hebel anpassen
airdrop_dashboard,Airdrop-Dashboard
all,Alle
all_time,Gesamtzeitraum
also_includes_rejected_amount,Enthält auch abgelehnte Beträge für nur reduzierte Orders
amount,Betrag
amount_baseunitview,Betrag({{baseUnitView}})
amount_formatbaseunitview,Betrag({{formatBaseUnitView}})
amount_is_required,Betrag ist erforderlich
announcements,Bekanntmachungen
apply_a_refund,Eine Rückerstattung beantragen
approving_spending_cap_in_wallet,Genehmigen der Ausgabenobergrenze im Wallet
asset,Vermögenswert
at_least_amount_coin,Mindestens {{amount}} {{coin}}
authentication_failed_please_verify_your_wallet,Authentifizierung fehlgeschlagen. Bitte verifizieren Sie Ihr Wallet erneut.
authentication_successful,Anmeldung erfolgreich
available_balance,Verfügbares Guthaben
back,Zurück
balance,Saldo
balance_value1,Saldo: {{value1}}
balances,Guthaben
balances_under_small_usd_value_threshold,Salden unter ${{SMALL_USD_VALUE_THRESHOLD}} werden nicht angezeigt.
bitget,Bitget
block,Block
block_is_full_please_try_again,Block ist voll. Bitte versuchen Sie es erneut
both,Beides
bought,gekauft
bug_report,Fehlerbericht
buy,Kaufen
cancel,Abbrechen
canceled,Abgebrochen
cancelled,Abgebrochen
cannot_invite_your_inviter,Einladende Person kann nicht eingeladen werden
cannot_use_your_own_referral_code,Es kann kein eigener Empfehlungscode verwendet werden
chain,Kette
chart,Diagramm
check_details,Details überprüfen
check_status,Status überprüfen
claim,Beanspruchen
claim_failed,Beanspruchung fehlgeschlagen
claim_rewards,Belohnungen abholen
claimed,Beansprucht
claiming,Beanspreche
click_again_to_place_order,"Klicken Sie erneut, um eine Order aufzugeben"
clobscan,ClobScan
coin,Münze
coming_soon,Demnächst verfügbar
commodities,Rohstoffe
completed,Bestanden
confirm,Bestätigen
confirm_cancel_all,Stornierung Bestätigen
confirm_cancel_all_description,Dadurch werden alle offenen Orders storniert.
confirming_in_wallet,Bestätigung im Wallet
connect_wallet,Wallet verbinden
connected_wallet,Verbundenes Wallet
copied_link_successfully,Link erfolgreich kopiert
copied_poster_successfully,Poster erfolgreich kopiert
copy_address,Adresse kopieren
copy_link,Link kopieren
copy_poster,Poster kopieren
create,Erstellen
create_code,Code erzeugen
crossed,crossed
current_vault_apr,Aktueller Tresor APR
data_amount_data_coin_coinsymbol_withdraw,{{data_amount}} {{data_coin_coinSymbol}} Auszahlung wird bestätigt.
data_amount_data_coin_coinsymbol_withdraw_2,{{data_amount}} {{data_coin_coinSymbol}} erfolgreich ausgezahlt.
deposit,Einzahlen
deposit_address,Einzahlungs-Adresse
deposit_address_changed_notice,Hinweis*: Die Einzahlungsadresse hat sich geändert. Bitte kopieren Sie die Adresse erneut und zahlen Sie kein Geld an die alte Adresse.
deposit_amount,Einzahlungsbetrag
deposit_coin_from_chain,Einzahlung {{coin}} von {{chain}}
deposit_coin_to_account_balances,Zahlen Sie {{coin}} auf Ihre {{account}} Guthaben ein
deposit_failed_kyt_check_failed,EINZAHLUNG FEHLGESCHLAGEN: KYT-PRÜFUNG FEHLGESCHLAGEN
deposit_flagged_kyt_description,"Diese Einzahlung wurde markiert, da die Quelladresse das KYT-Screening nicht bestanden hat. Die Geldmittel sind derzeit in der Warteschleife."
deposit_formdata_amount_smag7_ssi_successfully,{{formData_amount}} sMAG7.ssi erfolgreich eingezahlt
deposit_formdata_amount_value2_successfully,Einzahlung {{formData_amount}} {{value2}} erfolgreich
deposit_from_connected_wallet,Einzahlung aus verbundenem Wallet
deposit_from_connected_wallet_desc,"Verwenden Sie MetaMask, WalletConnect oder einen anderen Anbieter, um Geld von Ihrem Krypto-Wallet einzuzahlen"
deposit_from_external_account,Einzahlung von externem Konto
deposit_from_external_account_desc,"Überweisen Sie Geld von Binance oder anderen Börsen, Ketten wie Solana und anderen Wallets"
deposit_parsedamount_record_coin_successfully,{{parsedAmount}} {{record_coin}} erfolgreich eingezahlt.
deposit_parsedamount_token_successfully,{{parsedAmount}} {{token}} erfolgreich eingezhlt.
deposit_period,Einzahlungszeitraum
deposit_regular_description,"Einzahlungen sollten nach ~{{time}} Minuten eingehen. Dieser Dienst wird von Mirror Protocol, einem unabhängigen Drittanbieter, bereitgestellt."
deposit_suspicious_kyt_check_failed,EINZAHLUNG VERDÄCHTIG: KYT-PRÜFUNG FEHLGESCHLAGEN
deposit_to_vault,Einzahlung in den Tresor
deposited_formdata_amount_value2_into_vault,{{formData_amount}} {{value2}} in Tresor eingezahlt
deposits_and_withdrawals,Ein- und Auszahlungen
deposits_and_withdrawals_pendingcount,Ein- und Auszahlungen({{pendingCount}})
deposittime_min,~{{depositTime}} min
deposittime_mins,~{{depositTime}} Min.
destination_address,Zieladresse
disconnect,Verbindung trennen
docs,Dokumentation
done,Fertig
download_poster,Poster Downloaden (pdf)
enable_claim,Beanspruchung aktivieren
enable_gas_free_trading,Gasfreien Handel ermöglichen
enable_trading,Handel aktivieren
enable_trading_failed,Aktivieren des Handels fehlgeschlagen
enable_transfer,Transfer aktivieren
enable_unstake,Unstake aktivieren
enable_withdraw,Auszahlung aktivieren
ends_with_value1,Endet mit {{value1}}
enter_amount,Betrag eingeben
enter_code,Code eingeben
establish_connection,Verbindung herstellen
estimated_closed_pnl_without_fees,Geschätzte geschlossene PNL (ohne Gebühren):
evm_funding,EVM-Finanzierung
evm_funding_account,EVM-Finanzierungskonto
expand,Erweitern
expired,Abgelaufen
explorer,Explorer
fail_code,Fehlercode
fail_code_kyt_failed,KYT_Failed
fail_code_suspicious_address,Verdächtige Adresse
failed,Nicht bestanden
failed_to_apply_referral_code_please,Fehler beim Anwenden des Empfehlungscodes. Bitte versuchen Sie es erneut.
failed_to_authenticate_please_try_again,Authentifizierung fehlgeschlagen. Bitte versuchen Sie es erneut.
failed_to_create_referral_code_please,Empfehlungscode konnte nicht erstellt werden. Bitte versuchen Sie es erneut.
failed_to_generate_image,Bild konnte nicht generiert werden
failed_to_get_deposit_address,Einzahlungsadresse konnte nicht abgerufen werden.
failed_to_obtain_authentication_token_please,Authentifizierungstoken konnte nicht abgerufen werden. Bitte versuchen Sie es erneut.
faq,FAQ
faq_can_referral_rewards_be_claimed_now,Können Empfehlungsprämien jetzt beansprucht werden?
faq_difference_between_pending_and_claimable,Was ist der Unterschied zwischen ausstehenden und einforderbaren Prämien?
faq_referral_still_locked_after_1000_volume,"Ich habe bereits ein Handelsvolumen von 2.000 $ erreicht, aber die Empfehlung ist immer noch gesperrt. Warum?"
faq_rewards_slowed_or_stopped_even_user_trading,"Warum haben sich meine Empfehlungsprämien verlangsamt oder nicht mehr erhöht, obwohl ein empfohlener Nutzer weiter handelt?"
faq_shared_link_user_not_showing_why,"Ich habe meinen Link geteilt, aber der geworbene Benutzer wird nicht angezeigt. Warum?"
faq_why_points_coming_soon_and_25_bonus_counted,"Warum zeigen Punkte immer noch ""Demnächst"" an? Werden Punkte und der 25% ige Empfehlungs-Bonus bereits gezählt?"
faq_why_weekly_invite_limit_reached,Warum sieht mein Freund beim Anwenden meines Empfehlungscodes/-links „wöchentliches Einladungslimit erreicht“?
faq_will_past_trades_count_after_linking_code,"Zählen die vergangenen Trades eines empfohlenen Benutzers, nachdem er meinen Empfehlungscode verlinkt hat?"
fee,Gebühr
fees,Gebühren
fill_with_connected_wallet_connectedwalletdisplay,Mit verbundenem Wallet füllen: {{connectedWalletDisplay}}
filled,Gefüllt
filled_amount,Gefüllter Betrag
first_deposit_fee,Erste Einzahlung
first_deposit_fee_tooltip,"Für die erste Einzahlung berechnet das {{coin}} -Netzwerk eine Gebühr von 1 {{coin}}, um deine Adresse zu aktivieren."
for_isolated_positions_the_margin_includes,Bei isolierten Positionen enthält die Marge nicht realisierte Gewinne.
formdata_amount_value2_are_staking,{{formData_amount}} {{value2}} setzen...
from,Von
fund_to_spot_transfer,EVM-Fonds-zu-Spot-Überweisung
funding,Finanzierung
funding_history,Finanzierungshistorie
futures,Futures
futures_account,Futures Konto
gain,Gewinn
get_stuck_click_to_get_help,"Bleiben Sie stecken? Klicken Sie hier, um Hilfe zu erhalten"
get_the_tokens_from_external_wallets,Holen Sie sich die Token aus externen Wallets oder verbundenen Wallets.
hide,Verbergen
high_risk_address_description,Die Zieladresse wurde als Hochrisiko gekennzeichnet. Bitte verwenden Sie eine andere Auszahlungsadresse und versuchen Sie es erneut.
image_copied_to_clipboard_share_telegram,Bild in Zwischenablage kopiert. Sie können es jetzt auf Telegram teilen
image_copied_to_clipboard_share_x,Bild in Zwischenablage kopiert. Sie können es jetzt auf X teilen
image_downloaded_share_telegram,Bild heruntergeladen. Sie können es jetzt auf Telegram teilen.
image_downloaded_share_x,Bild heruntergeladen. Sie können es jetzt auf X teilen.
in_one_transfer,(In einer Übertragung)
index_price,Index-Preis
indicators,Indikatoren 
insufficient_balance,Unzureichends Guthaben
invalid_address_format,Ungültiges Adressformat
invalid_referral_code,Ungültiger Empfehlungscode
invalid_signature_message_please_refresh_and,Ungültige Signaturnachricht. Bitte aktualisieren und erneut versuchen.
isolated,Isoliert
join_me_to_earn_on_sodex,"Folge mir und verdiene auf SoDEX! 

 Traden und verdienen Sie jetzt auf SoDEX:"
join_whitelist,In WhiteList eintragen
kyt_failed,KYT fehlgeschlagen
kyt_powered_by,Unterstützt von
language,Sprache
language_and_number_format,Sprache & Zahlenformat
latest_price,Neuster Preis
leaderboar_rules,Rangliste-Regeln
learn_more,Mehr erfahren
limit_order,Limit-Order
liq_price,Liq.Preis
loading,Wird geladen …
long,Long
loss,Verlust
lucky_block_rewards_details,Details zu Glücksblock-Belohnungen
