key,value
2026_q1,2026.Q1
24h_volume,24-Stunden-Volumen
4_18_characters_only_a_z,"4–18 Zeichen, nur A–Z und 0–9. Sie können es einmal anpassen."
accept,Akzeptieren
account_information_here,Kontoinformationen hier
add,Hinzufügen
add_extra_funds_to_lower_liquidation,"Fügen Sie zusätzliche Mittel hinzu, um das Liquidationsrisiko zu senken, oder entfernen Sie die Marge für andere Geschäfte."
add_network,Netzwerk hinzufügen
add_valuechain,ValueChain hinzufügen
advanced,Fortschrittlich
all_cross_positions_share_the_same,Alle Cross-Positionen nutzen die gleiche Cross-Margin als Sicherheit. Im Falle einer Liquidation können Ihr Cross-Margin-Guthaben und alle verbleibenden offenen Positionen unter den Vermögenswerten in diesem Modus verfallen.
all_reward_records,Alle Belohnungsaufzeichnungen
an_aggregate_price_sourced_from_top,"Ein Gesamtpreis, der von Top-Spot-Börsen stammt, proportional nach Handelsvolumen gewichtet wird, um Manipulationsrisiken zu mindern, und zur Berechnung der Finanzierungssätze verwendet wird."
and_click_connect_to_link_this,"und klicken Sie auf „Verbinden“, um dieses Wallet zu verknüpfen."
apply_for_mainnet_early_bird,Bewerben Sie sich für Mainnet Early Bird
approve_adding_valuechainstaging_testnet_on_mobile,Genehmigen Sie das Hinzufügen von ValueChainStaging Testnet auf Mobilgeräten
approve_on_mobile,Auf Mobilgeräten genehmigen
approve_qr_code_with_wallet,QR-Code mit Wallet genehmigen...
approve_spending_cap_on_mobile,Genehmigen Sie die Ausgabenobergrenze für Mobilgeräte
approve_your_wallet_address_to_use,"Genehmigen Sie Ihre Wallet-Adresse, um das SoDEX-Konto für den Handel zu verwenden. Nonce: {{nonce}}"
approved_adding_valuechainstaging_testnet,"Genehmigt, ValueChainStaging Testnet hinzuzufügen"
assets_overview,Vermögensübersicht
authenticator_app_verification_added,Authentifizierungs-App-Verifizierung hinzugefügt
available_to_trade,Zum Handel verfügbar
avg_close_price,Durchschn. Schlusskurs
avg_price,Durchschn. Preis:
bestrank_th,{{bestRank}} th
bitcoin_address,Bitcoin-Adresse
block_hash,Hash blockieren
boost_your_earnings_with,Steigern Sie Ihr Einkommen mit
buy_long,Kaufen/Long
cancel_all,Alles abbrechen
cancellation_failed,Die Stornierung ist fehlgeschlagen
cancellation_successful,Stornierung erfolgreich
cannot_sign_with_api_wallet_switch,"Signieren mit API-Wallet nicht möglich. Wechseln Sie zum Desktop, um die Haupt-Wallet zum Signieren zu verbinden."
cannot_switch_margin_mode_with_open,Der Randmodus kann bei geöffneter Position nicht umgeschaltet werden.
cardano_address,Cardano-Adresse
changed_leverage,Geänderte Hebelwirkung
claim_failed_please_try_again,Anspruch gescheitert. Bitte versuchen Sie es erneut.
claim_test_tokens,Fordern Sie Testtoken an
claim_testnet_tokens,Fordern Sie Testnet-Tokens an
claimed_referral_code_successfully,Empfehlungscode erfolgreich angefordert!
claimed_successfully,Erfolgreich beansprucht
claiming_in_progress,Anspruchserhebung läuft
close_all,Alle schließen
close_at_a_limit_price,Schließen Sie zu einem Grenzpreis
close_at_a_market_price,Zum Marktpreis schließen
close_position,Position schließen
closed_alpha_referral_code,Closed-Alpha-Empfehlungscode
closed_amount,Geschlossener Betrag
closed_time,Geschlossene Zeit
closing_pnl,PNL wird geschlossen
coinsymbol_balance_account_value2_value3,{{coinSymbol}} Saldokonto: {{value2}} ( {{value3}} )
configure_amount,Betrag konfigurieren
confirm_limit_close,Bestätigen Sie das Schließen des Limits
confirm_market_close,Bestätigen Sie den Marktschluss
confirm_on_mobile,Auf dem Handy bestätigen
connect,Verbinden
control_the_leverage_used_for_basecoin,"Kontrollieren Sie den Hebel, der für {{baseCoin}} Positionen verwendet wird. Der maximale Hebel beträgt {{maxLeverage}} x."
cookie,Plätzchen
copied_to_clipboard,In die Zwischenablage kopiert
create_a_referral_code_after_trading,Erstellen Sie nach dem Handel mit $ {{value1}} einen Empfehlungscode.
create_my_code,Erstellen Sie meinen Code
create_your_referral_code,Erstellen Sie Ihren Empfehlungscode
creating,Erstellen...
cross,Kreuzen
cross_account_leverage,Kontoübergreifende Hebelwirkung
cross_account_leverage_total_cross_positions,Cross-Account-Leverage = Gesamtwert der Cross-Positionen / Cross-Akzeptanz
cross_margin_ratio,Cross-Margin-Verhältnis
current_margin_for_symbol,Aktuelle Marge für {{_symbol}}
current_position,Aktuelle Position
customize_code,Passen Sie den Code an
daily_test_tokens_claim,Anspruch auf tägliche Testtokens
decline,Abfall
delete_successfully,Erfolgreich löschen
deposit_chain,Einzahlungskette
deposit_confirming,Anzahlungsbestätigung.
deposit_failed,Einzahlung fehlgeschlagen
deposit_funds,Einzahlungsfonds
deposit_history,Einzahlungsverlauf
deposit_to_earn_more,"Zahlen Sie ein, um mehr zu verdienen"
destination_address_is_required,Zieladresse ist erforderlich
direction,Richtung
displaysymbol_overview,{{displaySymbol}} Übersicht
do_not_show_this_again,Dies nicht noch einmal anzeigen
dogecoin_address,Dogecoin-Adresse
don_t_show_this_again,Zeige das nicht noch einmal
don_t_show_this_again_2,Zeigen Sie dies nicht noch einmal
due_to_network_congestion_current_processing,*Aufgrund der Überlastung des Netzwerks werden die aktuellen Bearbeitungszeiten recht lange dauern.
early_bird_apply,Frühbucherantrag
earn,Verdienen
earn_more_points_by_using_this,"Sammeln Sie mehr Punkte, indem Sie diesen Code verwenden."
eligibility,Teilnahmeberechtigung
enable,Aktivieren
enable_confirmation_dialog_before_placing_orders,"Aktivieren Sie den Bestätigungsdialog, bevor Sie Bestellungen aufgeben"
enroll_in_mfa,Melden Sie sich für MFA an
enter,Eingeben
enter_a_referral_code_and_earn,Geben Sie einen Empfehlungscode ein und sammeln Sie mehr Punkte.
enter_a_referral_code_and_receive,Geben Sie einen Empfehlungscode ein und erhalten Sie zusätzliche 5 % Punkte.
enter_my_code,Geben Sie meinen Code ein
enter_referral_code,Geben Sie den Empfehlungscode ein
enter_the_6_digit_password_shown,"Geben Sie das 6-stellige Passwort ein, das auf Ihrem Desktop angezeigt wird"
enter_your_code,Geben Sie Ihren Code ein
entry_price,Eintrittspreis
estimated_gas_fee,Geschätzte Gasgebühr
eth,eth
evm_address,EVM-Adresse
executed_value,Ausgeführter Wert
export_email_wallet,E-Mail-Wallet exportieren
external_account,Externes Konto
failed_to_add_network,Netzwerk konnte nicht hinzugefügt werden
failed_to_copy,Kopieren fehlgeschlagen
failed_to_generate_qr_code_please,QR-Code konnte nicht generiert werden. Bitte versuchen Sie es erneut.
failed_to_get_deposit_address_please,Die Einzahlungsadresse konnte nicht abgerufen werden. Bitte versuchen Sie es erneut.
failed_to_get_nonce_please_try,Nonce konnte nicht abgerufen werden. Bitte versuchen Sie es erneut.
