key,value
adjust_margin,Marge anpassen
amount_coin_deposit_pending,{{amount}} ${{coin}} Einzahlung ausstehend
amount_is_too_small_after_the,"Der Betrag ist nach der Gebühr von 0,001 SOSO zu gering."
amount_soso,Betrag (SOSO)
approve_in_wallet,In Wallet genehmigen
approve_spending_cap_in_wallet,Ausgabenobergrenze im Wallet genehmigen
approved_spending_cap,Genehmigte Ausgaben:
approving_spending_cap,Genehmigen der Ausgabenobergrenze im Wallet
balance_on_valuechain,Saldo auf ValueChain
boost_coefficient,Boost-Koeffizient
buy_mag7_ssi,MAG7.ssi kaufen
check_in_detail,Check-in im Detail
check_your_soso_balance,Prüfe den Betrag auf deiner Geschenkkarte
claim_mag7_ssi,Fordern Sie MAG7.ssi an
claim_to_your_account,Anspruch auf Ihr Konto
claim_your_airdrop,Holen Sie sich Ihren Airdrop
complete_in_volume_to_start_earning,"Schließe <span>{{value}}</span> ab, um Umsätze zu erzielen (Spot + Futures)"
confirm_close_all,Schließen bestätigen
confirm_in_wallet,In Wallet bestätigen
confirm_order,Auftrag bestätigen
confirmed_in_wallet,Bestätigt im Wallet
congratulation_you_have_got_boost_on_ssi_rewards,"Glückwunsch! Du hast 
 <span>{{boost}} Boost</span> auf SSI-Belohnungen erhalten!"
congratulations,🎉 Herzlichen Glückwunsch!
connect_wallet_to_claim_your_airdrop,"Verbinden Sie das Wallet, um Ihren Airdrop zu erhalten"
copied_image_successfully,Bild erfolgreich kopiert
copied_text_successfully,Text erfolgreich kopiert
copy,Kopie
current_progress,Aktueller Fortschritt
deposit_at_least,Mindestens <span>{{amount}} {{coin}}</span> einzahlen.
download,Herunterladen
during_the_mainnet_closed_alpha_stage,"Während der Mainnet Closed Alpha-Phase kann jeder Einladende <b>bis zu 3 neue Empfehlungsbeziehungen pro Kalenderwoche zählen</b>. Wenn das wöchentliche Kontingent bereits genutzt wird, sehen möglicherweise weitere Freunde diese Nachricht und <b>werden erst beim nächsten Zurücksetzen als Empfehlungen gezählt</b>. Wöchentliche Slots werden <b>jeden Montag um 00:00 UTC</b> zurückgesetzt (der Toast zeigt auch die nächste verfügbare Zeit an). Es wird erwartet, dass dieses wöchentliche Limit nach dem öffentlichen Start aufgehoben wird."
epoch_4_has_begun,Epoche 4 hat BEGONNEN
estimated_gas_fees,Geschätzte Gasgebühren
expected_loss,erwarteter Verlust
expected_profit,erwarteter Gewinn
failed_to_get_account_please_ensure,"Konto konnte nicht abgerufen werden. Bitte stellen Sie sicher, dass Sie eingeloggt sind."
failed_to_get_invitation_code,Einladungscode konnte nicht abgerufen werden
formdata_amount_value2_deposit_is_pending,{{formData_amount}} {{value2}} Einzahlung steht noch aus...
fund_your_wallet,Ihre Brieftasche
go_to_portfolio,Zum Portfolio . . .
go_trading,Gehen Sie handeln
here_are_a_few_common_reasons,Hier sind ein paar häufige Gründe:
here_are_a_few_common_reasons_1,Der geworbene Benutzer hat den Verknüpfungsschritt möglicherweise nicht erfolgreich abgeschlossen (z. B. Wallet verbunden und Signatur/Bestätigung abgeschlossen)
here_are_a_few_common_reasons_2,Oder die Daten wurden möglicherweise noch nicht aktualisiert (Aktualisierungen etwa alle 30 Minuten).
here_are_a_few_common_reasons_3,Eine weitere Möglichkeit ist das <b>wöchentliche Limit</b>: Jede Kalenderwoche werden nur <b>bis zu 3 neu geworbene Benutzer</b> für Empfehlungsbeziehungen gezählt - zusätzliche Benutzer werden für diese Woche möglicherweise nicht gezählt.
hi_sodexer,"Hallo, SoDEXer!"
holding_smag7_ssi_will_automatically_participate_in_ssi,Das Halten von sMAG7.ssi nimmt automatisch an Airdrops der SSI-Plattform teil. Einzelheiten finden Sie unter <a>{{SSI_URL}}</a>.
i_have_earned,Ich habe es verdient
i_have_earned_earnedamount_soso_in,"Ich habe {{earnedAmount}} $SOSO im Epoche-3-Event verdient, Epoche 4 hat begonnen. Melden Sie sich jetzt an, um Ihre $SOSO zu verdienen! Klicken Sie hier, um jetzt $SOSO zu verdienen: {{shareLink}}"
insufficient_spot_balance_for_transfer,Unzureichendes Spotguthaben für die Überweisung.
inviter_wallet_address_not_found,Die Wallet-Adresse des Einladenden wurde nicht gefunden
join_sodex_mainnet_with_referral_code,Treten Sie SoDEX Mainnet mit dem Empfehlungscode <span>{{referralCode}}</span> bei und erhalten Sie einen Punkteschub von 5 %
leaderboard_campaign_winner,🎉Gewinner der Bestenlisten-Kampagne!
limit_close,Limit schließen
link,Link
log_in_with_email,Melden Sie sich mit E-Mail an
max_boost_coefficient_is_100_2x,"Der maximale Boost-Koeffizient beträgt 100 % (2x Multiplikator). Wenn Ihr Einsatz von $SOSO 100 % von $SSI übersteigt, ist der Boost auf 100 % begrenzt."
maximum_unstake_is_value1_smag7_ssi,Der maximale Einsatz beträgt {{value1}} sMAG7.ssi.
minimum_minimumamount_usdc,Mindestens {{minimumAmount}} USDC
minimum_unstake_is_minimum_usdc_deposit,Der Mindesteinsatz beträgt {{MINIMUM_USDC_DEPOSIT_AMOUNT}} sMAG7.ssi
minimum_withdraw_is,Die Mindestauszahlung beträgt {{amount}} {{coin}}
modify_tp_sl,TP/SL ändern
my_total_ssi_value,Mein Gesamt-SSI-Wert
network_congestion_detected_signature_submission_to,Netzwerküberlastung erkannt. Die Übermittlung der Unterschrift an Ihr Wallet kann 3–5 Minuten dauern. Bitte warten Sie geduldig.
not_enough_balance,Nicht genug Gleichgewicht.
only_send_coin_on_network,Senden Sie nur <span>{{coin}}</span> auf <span>{{network}} Netzwerk</span>.
only_staking_soso_wont_give_you_any_ssi_points,"Nur das Staking von SOSO <b>WON'T</b> gibt Ihnen SSI-Punkte, Sie erhalten SSI-Tokens für grundlegende SSI-Punkte.
Ihr SOSO kann 14 Tage nach der Aufhebung des Einsatzes abgehoben werden.
Durch den Einsatz von SOSO werden Ihre SSI Points Rewards automatisch <b>boost</b>.
Einzelheiten finden Sie unter <a> https://ssi.sosovalue.com/</a>."
open_a_channel_from_your_account,"Öffnen Sie einen Kanal von Ihrem Konto zu SoDEX Vault, damit Sie MAG7.ssi beanspruchen können."
open_a_channel_from_your_account_2,"Öffnen Sie einen Kanal von Ihrem Konto zum SoDEX Vault, damit Sie Geld einzahlen können."
open_a_channel_from_your_account_3,"Öffnen Sie einen Kanal von Ihrem Konto zu SoDEX Vault, damit Sie sMAG7.ssi entsperren können."
open_a_channel_from_your_account_4,"Öffnen Sie einen Kanal von Ihrem Konto zum SoDEX Vault, damit Sie Geld abheben können."
open_a_channel_from_your_account_5,Öffnen Sie einen Kanal von Ihrem Konto zu SoDEX für gasfreien und sofortigen Handel.
otherwise_i_will_result_in_permanent_loss,Andernfalls führe ich zu einem dauerhaften <span>Verlust</span>.
parsedamount_record_coin_actiontextlower_pending,{{parsedAmount}} {{record_coin}} {{actionTextLower}} ausstehend
parsedamount_token_actiontextlower_pending,{{parsedAmount}} {{token}} {{actionTextLower}} ausstehend.
partially_filled_qty_coin_sell_buy_at_average_price,"Teilweise ausgefüllt: {{qty}} {{coin}} {{sell_buy}}, Durchschnittspreis ${{avgPrice}}"
please_connect_your_wallet_first_2,Bitte verbinden Sie zuerst Ihr Wallet.
please_enter_a_valid_stake_amount,Bitte geben Sie einen gültigen Einsatzbetrag ein.
