key,value
access_your_chat_history_and_solutions,Greifen Sie jederzeit auf Ihren Chat-Verlauf und Ihre Lösungen zu.
analyzing,Wird analysiert
and,und
and_support,und support.
connect_wallet_to_continue,"Wallet verbinden, um fortzufahren"
drafting_an_answer,Eine Antwort entwerfen...
follow_us_on,Folgen Sie uns
for_updatesand_support,für Updates und Support.
how_do_i_deposit_crypto_into,Wie zahle ich Krypto auf mein SoDEX-Konto ein?
how_do_i_open_and_manage,Wie eröffne und verwalte ich eine Futures-Position auf SoDEX?
how_do_i_withdraw_crypto_from,Wie kann ich Krypto von SoDEX auf ein externes Wallet abheben?
how_to_deposit,Wie funktionieren die Einzahlungen? 
how_to_trade_futures,Wie handelt man Futures?
how_to_withdraw,Wie hebt man ab?
human_support,Menschliche Unterstützung
i_d_like_to_talk_to,Ich würde gerne mit einem menschlichen Support-Mitarbeiter sprechen.
please_try_again_in_a_moment,"Bitte versuchen Sie es gleich noch einmal. Wenn das Problem weiterhin besteht, reichen Sie hier ein Support-Ticket ein: https://sodex-support.zendesk.com/hc/en-us/requests/new"
searching_relevant_docs,Relevante Dokumente werden durchsucht...
sodex_customer_support,SoDEX-Kundensupport
sorry_something_went_wrong_on_our,Leider ist auf unserer Seite etwas schiefgelaufen und ich konnte deine Anfrage nicht abschließen.
today_s_market,Heutiger Markt
type_a_message,Nachricht eingeben
understanding_your_request,Ihre Anfrage wird verarbeitet…
value1,{{value1}}
what_s_the_latest_price_and,Was ist der neueste Preis und die 24-Stunden-Veränderung der 5 volumenstärksten SoDEX-Token nach 24h Volumen?
