key,value
2_hours,2 Stunden 
404_irl_builders_detected,404: IRL-Bauer erkannt!
apes_are_wrenching_on_the_backend,Affen wüten am Backend.
back_online_in_span_style_color,Wieder online in <span>{{time}}</span>.
click_to_start,Bitte klicken Sie auf das Bild um den Film zu starten.
currently_syncing_to_our_shiny_new,Wird derzeit mit unserer glänzenden neuen Kette synchronisiert.
don_t_worry_it_s_not,"Keine Sorge, es ist kein Rugpull - nur ein Upgrade!"
estimated_completion_time_2_hours,Geschätzte Fertigstellungszeit: 2 Stunden.
estimated_time_to_moon_span_style,Geschätzte Zeit bis zum Mond: <span>{{time}}</span>.
expect_launch_in_span_style_color,Erwarten Sie eine Markteinführung in <span>{{time}}</span>.
expect_some_downtime_and_glorious_new,Erwarten Sie einige Ausfallzeiten (und herrliche neue Funktionen).
fuelling_up_with_rocket_fuel_code,Betanken mit Raketentreibstoff (Code).
hodl_tight_fren,"HODL Tight, Fren!"
join_community,Jetzt anmelden
maintenance_mode_engaged,Wartungsmodus: AKTIVIERT!
our_devs_are_pushing_mainnet_upgrades,Unsere Entwickler bringen Mainnet-Upgrades live.
patience_rewarded_with_gratitude,Geduld belohnt (mit Dankbarkeit).
preparing_for_takeoff,Ich bereite mich auf den Start vor!
press_space_to_start,"Drücken Sie die Leertaste, um das Spiel zu starten."
scheduled_maintenance_in_progress,Geplante Wartung läuft
site_undergoing_essential_upgrades,Standort wird wesentlichen Upgrades unterzogen.
site_upgrades_in_progress,Website-Upgrades werden durchgeführt!
sodex_is_performing_network_upgrades_to,"SoDEX führt Netzwerk-Upgrades durch, um die Stabilität und Leistung zu verbessern."
thank_you_for_your_patience_and,Danke für dein Verständnis und Support.
thanks_for_not_pulling_liquidity,"Vielen Dank, dass Sie keine Liquidität beziehen!"
upgrade_in_progress_eta_span_style,Upgrade läuft! Voraussichtliche Ankunftszeit: <span>{{time}}</span>.
we_appreciate_your_diamond_hands,Wir wissen Ihre Diamantenhände zu schätzen!
we_re_hard_forking_reality_for,"Wir sind hart dran, die Realität für <span>{{time}}</span> aufzupeppen."
wgmi_we_re_gonna_merge_it,WGMI (Wir werden es zusammenführen)!
your_patience_is_our_gas_fee,Deine Geduld ist unsere Benzingebühr. Danke!
